duid,fy_start,fy_label,curtailment_pct,metric_version,generation_mwh,months_covered
CNUNDAWF,2025,FY25-26,0.2954,2.0-proxy,87790.0,12
CNUNDAWF,2026,FY26-27,0.0603,2.0-proxy,18350.0,2
COHUNSF1,2020,FY20-21,0.3707,2.0-proxy,3040.0,4
COHUNSF1,2021,FY21-22,0.2412,2.0-proxy,10943.0,8
COHUNSF1,2022,FY22-23,0.1646,2.0-proxy,40477.0,12
COHUNSF1,2023,FY23-24,0.16,2.0-proxy,30820.0,9
COHUNSF1,2024,FY24-25,0.2834,2.0-proxy,6946.0,5
COHUNSF1,2025,FY25-26,0.283,2.0-proxy,28390.0,12
COHUNSF1,2026,FY26-27,0.0281,2.0-proxy,2686.0,2
COLEASF1,2020,FY20-21,0.0495,2.0-proxy,86876.0,4
COLEASF1,2021,FY21-22,0.0816,2.0-proxy,299205.0,12
COLEASF1,2022,FY22-23,0.0583,2.0-proxy,306351.0,12
COLEASF1,2023,FY23-24,0.033,2.0-proxy,308413.0,12
COLEASF1,2024,FY24-25,0.0296,2.0-proxy,300428.0,12
COLEASF1,2025,FY25-26,0.0419,2.0-proxy,298642.0,12
COLEASF1,2026,FY26-27,0.0176,2.0-proxy,38201.0,2
COLUMSF1,2022,FY22-23,0.0186,2.0-proxy,214676.0,12
COLUMSF1,2023,FY23-24,0.0606,2.0-proxy,298022.0,11
COLUMSF1,2024,FY24-25,0.0277,2.0-proxy,393476.0,12
COLUMSF1,2025,FY25-26,0.0025,2.0-proxy,395455.0,12
COLUMSF1,2026,FY26-27,0.0022,2.0-proxy,61029.0,2
COLWF01,2020,FY20-21,0.0065,2.0-proxy,138812.0,4
COLWF01,2021,FY21-22,0.0009,2.0-proxy,554366.0,12
COLWF01,2022,FY22-23,0.0046,2.0-proxy,520382.0,12
COLWF01,2023,FY23-24,0.0031,2.0-proxy,439898.0,12
COLWF01,2024,FY24-25,0.0067,2.0-proxy,505864.0,12
COLWF01,2025,FY25-26,0.0088,2.0-proxy,559904.0,12
COLWF01,2026,FY26-27,0.0,2.0-proxy,93288.0,2
COOPGWF1,2020,FY20-21,0.0101,2.0-proxy,409792.0,4
COOPGWF1,2021,FY21-22,0.0193,2.0-proxy,1365269.0,12
COOPGWF1,2022,FY22-23,0.0122,2.0-proxy,1413842.0,12
COOPGWF1,2023,FY23-24,0.0006,2.0-proxy,1275573.0,12
COOPGWF1,2024,FY24-25,0.0306,2.0-proxy,1302263.0,12
COOPGWF1,2025,FY25-26,0.0532,2.0-proxy,1304758.0,12
COOPGWF1,2026,FY26-27,0.0401,2.0-proxy,209207.0,2
CROOKWF2,2020,FY20-21,0.0004,2.0-proxy,91422.0,4
CROOKWF2,2021,FY21-22,0.0068,2.0-proxy,298724.0,12
CROOKWF2,2022,FY22-23,0.0113,2.0-proxy,293590.0,12
CROOKWF2,2023,FY23-24,0.0052,2.0-proxy,177367.0,10
CROOKWF2,2024,FY24-25,0.0349,2.0-proxy,184862.0,11
CROOKWF2,2025,FY25-26,0.0146,2.0-proxy,276606.0,12
CROOKWF2,2026,FY26-27,0.0082,2.0-proxy,47890.0,2
CROOKWF3,2024,FY24-25,0.043,2.0-proxy,95632.0,11
CROOKWF3,2025,FY25-26,0.0221,2.0-proxy,174212.0,12
CROOKWF3,2026,FY26-27,0.0136,2.0-proxy,29249.0,2
CROWLWF1,2020,FY20-21,0.0021,2.0-proxy,79375.0,4
CROWLWF1,2021,FY21-22,0.0144,2.0-proxy,275705.0,12
CROWLWF1,2022,FY22-23,0.0686,2.0-proxy,231692.0,12
CROWLWF1,2023,FY23-24,0.059,2.0-proxy,232414.0,12
CROWLWF1,2024,FY24-25,0.0768,2.0-proxy,253410.0,12
CROWLWF1,2025,FY25-26,0.2036,2.0-proxy,212823.0,12
CROWLWF1,2026,FY26-27,0.078,2.0-proxy,33142.0,2
CRURWF1,2020,FY20-21,0.0119,2.0-proxy,66989.0,4
CRURWF1,2021,FY21-22,0.0105,2.0-proxy,389059.0,12
CRURWF1,2022,FY22-23,0.0061,2.0-proxy,379958.0,12
